order_id,customer_id,product_id,product_name,category,quantity,price,order_date,ship_date,order_status
1001,5001,2001,"无线机械键盘","电子产品",2,129.99,2023-07-01,2023-07-02,"已完成"
1002,5002,2002,"智能手环 Pro","电子产品",1,79.50,2023-07-01,2023-07-03,"已发货"
1003,5003,2003,"降噪蓝牙耳机","电子产品",1,59.99,2023-07-02,, "待付款"
1004,5001,2004,"24英寸曲面显示器","电子产品",1,199.99,2023-07-02,2023-07-05,"已完成"
1005,5004,2005,"办公人体工学椅","家居用品",1,149.95,2023-07-03,2023-07-06,"已取消"
1006,5005,2006,"便携式充电宝","电子产品",3,24.99,2023-07-05,, "待发货"
1007,5002,2007,"无线鼠标","电子产品",2,19.99,2023-07-06,2023-07-07,"已完成"
1008,5006,2008,"双肩电脑背包","服饰配件",1,34.50,2023-07-07,2023-07-08,"已发货"
1009,5007,2009,"智能家居音箱","电子产品",1,89.99,2023-07-08,2023-07-10,"待发货"
1010,5008,2010,"游戏显卡","电子产品",1,349.99,2023-07-10,2023-07-12,"已完成"
1011,5009,2011,"无线家庭安防摄像头","电子产品",2,59.99,2023-07-11,2023-07-13,"已完成"
1012,5010,2012,"电动办公桌","家居用品",1,249.95,2023-07-12,2023-07-15,"已发货"
1013,5001,2013,"智能手表","电子产品",1,129.99,2023-07-13,2023-07-14,"已完成"
1014,5011,2014,"可调节床头阅读灯","家居用品",1,39.95,2023-07-15,, "待发货"
1015,5004,2015,"运动蓝牙耳机","电子产品",1,45.99,2023-07-16,2023-07-17,"已完成"
1016,5012,2016,"电脑升降桌","家居用品",1,199.95,2023-07-17,2023-07-20,"已发货"
1017,5013,2017,"运动相机","电子产品",1,219.99,2023-07-18,2023-07-21,"已完成"
1018,5005,2018,"手机三脚架","电子产品",2,14.99,2023-07-19,2023-07-20,"待付款"
1019,5014,2019,"人体工学枕头","家居用品",1,29.95,2023-07-20,2023-07-22,"已取消"
1020,5015,2020,"平板电脑保护套","电子产品",1,19.99,2023-07-21,, "待发货"
